"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
1.848,1.848,1,1,1,1,0.274892918980122,9.95222330093384,0.10437966123724,
1.858,1.858,1,1,1,1,0.273557605415583,10.0001335144043,0.100574500448418,
1.868,1.868,1,1,1,1,0.274974672871828,10.0532531738281,0.107927329942608,
1.878,1.878,1,1,1,1,0.279280377835035,10.1019740104675,0.103416450110245,
1.888,1.888,1,1,1,1,0.280252340769768,10.1372957229614,0.10724068438673,
1.898,1.898,1,1,1,1,0.281723910820484,10.1855278015137,0.108103759703493,
1.908,1.908,1,1,1,1,0.282823046475649,10.2375864982605,0.101585395294571,
1.918,1.918,1,1,1,1,0.282977470493317,10.2645635604858,0.117807396552181,
1.929,1.929,1,1,1,1,0.285929694360495,10.3108763694763,0.11438847388854,
1.939,1.939,1,1,1,1,0.287410348176956,10.3557109832764,0.109643943832302,
1.949,1.949,1,1,1,1,0.286665479385853,10.3928089141846,0.105619437935352,
1.959,1.959,1,1,1,1,0.288182468265295,10.4411959648132,0.104818351453495,
1.969,1.969,1,1,1,1,0.289054509776831,10.4695320129395,0.11669159752388,
1.979,1.979,1,1,1,1,0.291089273303747,10.5202555656433,0.103268630580854,
1.989,1.989,1,1,1,1,0.293087701767683,10.559356212616,0.11371613344841,
1.999,1.999,1,1,1,1,0.293060450470447,10.596489906311,0.107660301115322,
2.01,2.01,1,1,1,1,0.294086915999651,10.6403827667236,0.112018593046379,
2.021,2.021,1,1,1,1,0.297784008657932,10.6963634490967,0.110244758693695,
2.031,2.031,1,1,1,1,0.298383537197113,10.7538461685181,0.107536323445511,
2.042,2.042,1,1,1,1,0.300318379300833,10.8041286468506,0.112376220940065,
2.053,2.053,1,1,1,1,0.303361440825462,10.875403881073,0.113635071125841,
2.063,2.063,1,1,1,1,0.305141858911514,10.9256982803345,0.116863258912849,
2.074,2.074,1,1,1,1,0.307594475662708,10.9903693199158,0.112996109289122,
2.084,2.084,1,1,1,1,0.308139501607418,11.0403656959534,0.114030845994854,
2.095,2.095,1,1,1,1,0.309947170990705,11.0977292060852,0.115122803163576,
2.106,2.106,1,1,1,1,0.312399787741899,11.1544728279114,0.113434799505377,
2.116,2.116,1,1,1,1,0.314207457125187,11.2030267715454,0.108585365266991,
2.127,2.127,1,1,1,1,0.314334629845619,11.2508654594421,0.119528778813791,
2.138,2.138,1,1,1,1,0.317804628360271,11.2936854362488,0.116233833819962,
2.148,2.148,1,1,1,1,0.31857674844861,11.3388538360596,0.13010979609499,
2.159,2.159,1,1,1,1,0.321220124280453,11.3862156867981,0.121312149910307,
2.17,2.17,1,1,1,1,0.320874941182137,11.4237666130066,0.126614579480696,
2.18,2.18,1,1,1,1,0.323527400779724,11.4718437194824,0.114321716681719,
2.191,2.191,1,1,1,1,0.326225279206038,11.5123987197876,0.123386391693687,
2.201,2.201,1,1,1,1,0.325589415603876,11.5507483482361,0.121612557341003,
